rank_shop,shop_name,geography,nb_produits,score_moyen,note_moyenne,prix_moyen,pct_dispo,remise_moyenne,produit_phare
1,allbirds,US,155,0.879,4.4,70.587,0.961,30.418,Men's Cruiser - Natural Black (Natural Black Sole)
2,born_primitive,US,503,0.805,4.632,46.39,0.859,25.798,American Defender Short Velcro 3.0 (Patriot)
3,goat_tape,US,11,0.751,5.0,153.176,1.0,2.545,GOAT Bundle
4,nobull,US,168,0.728,4.7,76.847,0.899,7.7,Women's Allday 365 (Ripstop)
5,ten_thousand,US,69,0.721,4.659,110.275,0.493,0.725,Foundation Short | 7-inch
6,cuts_clothing,US,362,0.719,4.59,76.597,0.743,17.71,Essential Tee Bundle | Black & White Classic-fit PYCA Pro®
7,represent,US,444,0.653,4.8,187.588,0.489,0.101,247 Arc-2 Trainer - Flat White
8,set_active,US,146,0.634,4.534,64.089,0.418,10.137,SET X PARKE HORSESHOE JEANS - RHUBARB
9,danosseasoning,US,123,0.625,4.688,18.463,1.0,8.665,Dan-O’s Classic Logo Tee
10,nalgene,US,1,0.622,4.7,20.59,1.0,0.0,Custom Sustain 32oz Wide Mouth
11,nutribullet,US,183,0.586,4.674,35.59,0.913,0.071,nutribullet Flex
